date,user_id,choice_id,emoji,question,editor
2022-05-03,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-05-03,c09694b5b867f8383b95640361c53ac7,1,🙂,emotion,Irena
2022-05-03,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-05-03,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-05-03,d20f2adf778ed2135e67fbd628d89304,0,😐,emotion,Irena
2022-05-03,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-05-03,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
2022-05-03,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-05-03,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-29,95ba860ed905cf268092ca1e90f91dd6,1,🙂,emotion,Irena
2022-04-29,b049b7eae43713e6aca6320c57b3bb88,2,😍,emotion,Dhrumil
2022-04-29,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-29,5a7ac9a0ee30d1e7bedafd9046162fc7,1,🙂,emotion,Dhrumil
2022-04-29,d20f2adf778ed2135e67fbd628d89304,1,🙂,emotion,Irena
2022-04-29,8afe1d67be9656212e94aaa6995c8e39,1,🙂,emotion,Irena
2022-04-29,fb6da81da7c9b66f4dfd266096bca702,2,😍,emotion,Dhrumil
2022-04-29,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-29,4716f7a2eee28bddd0e115f021642950,2,😍,emotion,Dhrumil
2022-04-29,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-29,5119dd707d353a28b41fa1adcdda76be,0,😐,emotion,Dhrumil
2022-04-29,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-29,8b728352298677976121c9bcf5f2a578,1,🙂,emotion,Irena
2022-04-29,764f85855c5a57c62401a0834eda0fc9,1,🙂,emotion,Dhrumil
2022-04-29,c21a2438c0e9308e03a92ebd90c5d27d,0,😐,emotion,Dhrumil
2022-04-29,89135d5c75496c9d94251f30c748b9b8,0,😐,emotion,Irena
2022-04-29,c09694b5b867f8383b95640361c53ac7,1,🙂,emotion,Irena
2022-04-26,8afe1d67be9656212e94aaa6995c8e39,1,🙂,emotion,Irena
2022-04-26,d20f2adf778ed2135e67fbd628d89304,1,🙂,emotion,Irena
2022-04-26,3ce992bb73ea135b1c738ef290cb93d5,1,🙂,emotion,Dhrumil
2022-04-26,02ad64bf82ddd3aff9a2d535542075ac,1,🙂,emotion,Dhrumil
2022-04-26,a9864a7d130ce52cf17579545fc96643,-1,🙁,emotion,Dhrumil
2022-04-26,85e0b01e2551b858300dee580c9b0824,0,😐,emotion,Irena
2022-04-26,aa516cd83ca47c4c0707d31047f6dc8a,1,🙂,emotion,Dhrumil
2022-04-26,af89c92b83a70769aba5265b5a2c0965,1,🙂,emotion,Irena
